"Date","Leaders","Place","Participating Officials","Officials Rank","Description","Resources"
"1953/11/10 - 1953/11/27","Mao Zedong/Kim Il-sung","China","Kim Il-sung (金日成) and Mao Zedong (毛泽东)","Premier (朝鲜民主主义人民共和国内阁首相) and Chairman of Communist Party of China (中国共产党中央委员会主席)","Summit Meeting: Official visit, the Sino-North Korean Economic and Cultural Cooperation Agreement was signed","http://www.ziliaoku.org/rmrb/1953-11-24-1#103598"
"1954/09/28 - 1954/10/05","Mao Zedong/Kim Il-sung","China","Kim Il-sung (金日成) and Mao Zedong (毛泽东)","Premier (朝鲜民主主义人民共和国内阁首相) and Chairman of Communist Party of China (中国共产党中央委员会主席)","Summit Meeting: Goodwill visit, 5th anniversary of the founding of the People's Republic of China","http://www.ziliaoku.org/rmrb/1954-09-29-1#115176"
"1958/02/14 - 1958/02/21","Mao Zedong/Kim Il-sung","North Korea","Zhou Enlai (周恩来) and Kim Il-sung (金日成)","Premier (中华人民共和国国务院总理) and Premier (朝鲜民主主义人民共和国内阁首相)","Summit Meeting: Goodwill visit","http://www.ziliaoku.org/rmrb/1958-02-15-1#187581"
"1958/11/21 - 1958/11/28","Mao Zedong/Kim Il-sung","China","Kim Il-sung (金日成) and Mao Zedong (毛泽东)","Premier (朝鲜民主主义人民共和国内阁首相) and Chairman of Communist Party of China (中国共产党中央委员会主席)","Summit Meeting: Goodwill visit","http://www.ziliaoku.org/rmrb/1958-11-23-1#209929"
"1959/09/25 - 1959/10/03","Mao Zedong/Kim Il-sung","China","Kim Il-sung (金日成) and Mao Zedong (毛泽东)","Premier (朝鲜民主主义人民共和国内阁首相) and Chairman of Communist Party of China (中国共产党中央委员会主席)","Summit Meeting: Goodwill visit, 10th anniversary of the founding of the People's Republic of China","http://www.ziliaoku.org/rmrb/1959-09-26-2#230361"
"1961/07/10 - 1961/07/15","Mao Zedong/Kim Il-sung","China","Kim Il-sung (金日成) and Mao Zedong (毛泽东)","Premier (朝鲜民主主义人民共和国内阁首相) and Chairman of Communist Party of China (中国共产党中央委员会主席)","Summit Meeting: Goodwill visit, signed the Sino-North Korean Mutual Aid and Cooperation Friendship Treaty","http://www.ziliaoku.org/rmrb/1961-07-11-1#272829"
"1962/06/17","Mao Zedong/Kim Il-sung","China","Pak Gum-chol (朴金喆) and Zhu De (朱德)","Member of the Presidium of the Supreme People's Assembly (朝鲜最高人民会议常任委员会委员) and Vice Chairman of Communist Party of China (中国共产党中央委员会副主席)","Goodwill Visit: Supreme People's Assembly delegation","http://www.ziliaoku.org/rmrb/1962-06-17-1#292140"
"1963/06/05 - 1963/06/17","Mao Zedong/Kim Il-sung","China","Choe Yong-gon (崔庸健) and Mao Zedong (毛泽东)","Chairman of the Standing Committee of the Supreme People's Assembly (朝鲜民主主义人民共和国最高人民会议常任委员会委员长) and Chairman of Communist Party of China (中国共产党中央委员会主席)","Goodwill Visit (official)","http://www.ziliaoku.org/rmrb/1963-06-16-1#308729"
"1963/09/15 - 1963/09/27","Mao Zedong/Kim Il-sung","North Korea","Liu Shaoqi (刘少奇) and Kim Il-sung (金日成)","Chairman of Communist Party of China (中华人民共和国主席) and General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记)","State Visit: Goodwill visit","http://www.ziliaoku.org/rmrb/1963-09-15-1#312396"
"1964/05/11 - 1964/05/14","Mao Zedong/Kim Il-sung","China","Choe Won-teak (崔元泽) and Zhu De (朱德)","Chairman of the Supreme People's Assembly (朝鲜人民共和国最高人民会议议长) and Chairman of the Standing Committee of the National People's Congress (中华人民共和国全国人民代表大会常务委员会委员长)","Goodwill Visit: National People's Congress invitation","http://www.ziliaoku.org/rmrb/1964-05-12-1#322864"
