,CN: Outward Direct Investment: ytd,CN: Industrial Enterprise: State Holding: No of Enterprise,CN: Industrial Enterprise: State Holding: Product Inventory,CN: Industrial Enterprise: State Holding: Asset,CN: Industrial Enterprise: State Holding: Sales Revenue: ytd,CN: Industrial Enterprise: State Holding: Profit: ytd,CN: Industrial Enterprise: State Holding: Principal Business Profit: ytd,CN: Industrial Enterprise: State Holding: Asset Contribution Ratio,CN: Industrial Enterprise: State Holding: Liabilities to Asset Ratio,CN: Industrial Enterprise: State Holding: Current Asset Turnover Ratio,CN: Industrial Enterprise: State Holding: Profit to Costs Ratio: ytd,CN: Industrial Enterprise: State Holding: Capital Increment Ratio,CN: Industrial Enterprise: State Holding: YoY: Product Inventory,CN: Industrial Enterprise: State Holding: YoY: Sales Revenue: ytd,CN: Industrial Enterprise: State Holding: YoY: Asset,CN: Industrial Enterprise: State Holding: YoY: Profit: ytd,CN: Industrial Enterprise: State Holding: YoY: Principal Business Profit: ytd
Region,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
Subnational,,,,,,,,,,,,,,,,,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec""",Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly
Unit,USD mn,Unit,RMB bn,RMB bn,RMB bn,RMB bn,RMB bn,%,%,%,%,%,%,%,%,%,%
Source,Ministry of Commerce,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics
Status,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
Series ID,259798001 (COCJID),8039001 (COTAAA),8039201 (COTABA),8039601 (COTADA),8044101 (COTAFA),8048601 (COTAHA),289753804 (COBMZI),8053101 (COTAJA),8053301 (COTAKA),8053501 (COTALA),8053701 (COTAMA),8053901 (COTANA),8039401 (COTACA),8048401 (COTAGA),8043901 (COTAEA),8052901 (COTAIA),289754704 (COBMZR)
SR Code,SR4602113,SR676794,SR676795,SR676796,SR676797,SR676798,SR6855702,SR676799,SR676800,SR676801,SR676802,SR676803,SR676805,SR676806,SR676807,SR676808,SR6855704
Mnemonic,,,,,,,,,,,,,,,,,
Function Description,,,,,,,,,,,,,,,,,
First Obs. Date,Dec-08,Jan-99,Jan-99,Jan-99,Jan-99,Jan-99,Jan-01,Jan-99,Jan-99,Jan-99,Jan-99,Jan-99,Jan-99,Jan-99,Jan-99,Jun-99,May-13
Last Obs. Date,Dec-20,Dec-20,Dec-20,Dec-20,Dec-20,Dec-20,Dec-14,Oct-15,Dec-20,Oct-15,Oct-15,Oct-15,Dec-20,Dec-20,Dec-20,Dec-20,Dec-14
Last Update Time,21/01/2021,28/01/2021,28/01/2021,28/01/2021,27/01/2021,27/01/2021,15/04/2020,25/11/2020,28/01/2021,25/11/2020,25/11/2020,25/11/2020,28/01/2021,27/01/2021,28/01/2021,27/01/2021,15/04/2020
Series remarks,,,,,"Starting from 2019, sales revenue includes income from principal and other business.

从2019年起，营业收入包括营业收入和其他业务收入。",,,,,,,,,"Starting from 2019, sales revenue includes income from principal and other business.

从2019年起，营业收入包括营业收入和其他业务收入。",,,
Suggestions,,,,,,,,,,,,,,,,,
Mean,78917.25416,27438.42083,618.0497912,24381.22598,8824.095604,542.5603917,414.9923929,12.38579268,60.07918457,1.717621951,6.392865854,109.5958025,6.44559322,11.21088983,8.702754237,37.37385281,-0.565
Variance,2286391412,169172539,65455.77124,204642620.1,56091428.57,221226.9867,114778.6327,24.23426378,3.379701366,0.135896764,4.56211873,6.296097799,59.13250816,136.2326915,12.963106,10382.29517,21.71607895
Standard Deviation,47816.22541,13006.63442,255.8432552,14305.33537,7489.42111,470.3477296,338.7899536,4.922830871,1.838396412,0.368641783,2.135911686,2.509202622,7.689766457,11.67187609,3.600431363,101.8935482,4.660051389
Skewness,0.650422204,1.191353619,0.017063039,0.185172235,0.902743651,0.881013237,0.937944782,1.453045425,-0.237879073,-0.356114182,-0.797086521,0.448047098,0.45139181,0.063127845,0.823282127,4.689308885,-0.879202115
Kurtosis,-0.308674487,0.03128556,-1.808029086,-1.580532705,-0.330877535,-0.239925308,-0.12913501,1.576089713,-0.780572639,-1.134266654,0.584697815,4.590727093,0.03100716,-0.410508217,-0.223208713,27.93141909,0.545381373
Coefficient Variation,0.605903309,0.474029993,0.413952498,0.586735687,0.848746596,0.866903919,0.816376299,0.397457878,0.030599557,0.214623353,0.334108635,0.022895061,1.193026956,1.041119507,0.413711713,2.726332464,-8.247878564
